ID,latitude,longitude,NAME,Review_num,Rating,Categories,Price
Upxdio_qS0j-lSnN4EmvjQ,34.08335711,-118.2866445,Budonoki,84,4.6,"Izakaya, Sushi Bars, Beer Bar",
AIhWsp8yNfKZfaX9d9Yajg,34.0476,-118.317234,Pasta Sisters,2027,4.4,"Delis, Italian, Sandwiches",$$
1ZEUvoDlg7ixlwwlK2a3mQ,34.049642,-118.309526,Ha Sun Saeng - Master Ha,582,4.4,"Korean, Live/Raw Food, Seafood",$$
rr-hXB0ZqXLzUP97yftp0g,34.08335868,-118.3247249,Osteria Mamma,1946,4,"Italian, Wine Bars",$$
xDIX5kboLJPUz6rDENbeCA,34.08446,-118.30949,Etra,63,4.3,Italian,
BgA3NZc1CuymyggAHNWozA,34.0984,-118.302811,Los Pollos Hermanos,1,5,"Food Delivery Services, Chicken Wings, Sandwiches",
gd6PYDx-leOM97a3MWoO1g,34.05002828,-118.248528,Maccheroni Republic,4085,4.4,"Italian, Wine Bars",$$
kdTFcDSl9vAR-btEm1Q2uw,34.07577,-118.36982,Bao Dim Sum House,3586,4,"Dim Sum, Bars, Tapas/Small Plates",$$
RJi83-A92s-KqFutK9sVdQ,34.08367939,-118.3239579,Tonchin LA,323,4.3,"Ramen, Cocktail Bars",$$
lRScnMRd-FBlT5QQyrUEUQ,34.046459,-118.238403,PASTA e PASTA by Allegro,1394,4.4,"Italian, Japanese",$$
UaxSpacBpGQrXv9Cytai2A,34.063763,-118.296482,Woo Hyang Woo,1122,4.6,"Korean, Barbeque, Bars",$$$
VjCMQkJviJquiJQEawPWfw,34.083612,-118.33985,Meteora,390,4,New American,$$$$
#NAME?,34.1037812,-118.2872479,La Pergoletta,1364,4.3,Italian,$$
S3z6erO2TeljEc-dTPqc9Q,34.141468,-118.388418,Firefly,3286,3.9,"New American, Lounges, Cocktail Bars",$$$
1GKQG1iVYYiatHFhV7GDpQ,34.063182,-118.298594,Juliana Los Angeles,193,4.3,"Breakfast & Brunch, Lounges, Tapas/Small Plates",
9X4Ie-oy8DbweZYjojt1ig,34.057516,-118.304501,Jinsol Gukbap 8th,77,4.6,Korean,$$
eMCp5br4J_4at3jIX2ljrg,34.101,-118.32968,Hui Tou Xiang,332,4.3,"Chinese, Noodles",$$
GKQApReu8U9hip4A2ApJ_A,34.08333668,-118.3139372,Osteria La Buca,2293,4.1,"Italian, Pizza, Cocktail Bars",$$
nkTDDiUVcNUzt1dPT76blw,34.097844,-118.319237,Linden,41,4.4,New American,
labimxMfErB-poVmmw9n4g,34.09562,-118.29534,Saffy's,523,4.2,"Middle Eastern, Cocktail Bars",$$$
sXdOBghhw-ZU9S-1HxVZVA,34.09031982,-118.2775804,Bacari Silverlake,2741,4.6,"Breakfast & Brunch, New American, Pizza",
6QeZEUhFk1_vZhWvktKnmA,34.09469,-118.33826,Fat Sal's Deli - Hollywood,2704,3.9,"Sandwiches, Burgers",$$
fEY0zHaDMfIW3-N__joDKQ,34.0336632,-118.2292446,Bestia,7708,4.3,"Italian, Cocktail Bars, Pizza",$$$
1YedTUOBgR5XmJ1BMlv70Q,34.09036255,-118.3734894,La Bohème,3497,4.4,"Bars, New American, Venues & Event Spaces",$$$
fCfkMf27m2PcTWXLTrLM7Q,34.08334296,-118.3463794,Fratelli Cafe,2556,4.3,"Coffee & Tea, Breakfast & Brunch, Sandwiches",$$
NQqA1cjS0rHn_96VwtnhMg,34.07603,-118.32399,Good Goose Cafe,250,4.8,"Asian Fusion, Thai, Vegetarian",$$
PI1TAMjFy1wO9OCiA-VWBA,34.04484,-118.26453,Fixins Soul Kitchen - Los Angeles,2001,4.4,"Soul Food, Comfort Food, American",$$
y4X0KfHJ5XWwxMIRukVr1Q,34.06229367,-118.2975762,CHD MANDU LA,304,4.6,Korean,$$
H57RMyO6BWWh-lJZAsZGVA,34.09761883,-118.3328153,Superba Food + Bread,442,4.4,"New American, Breakfast & Brunch, Bakeries",
IromOzFDU7jttAWgXDeKRQ,34.057005,-118.345578,Irv's Burgers,329,4.3,"Burgers, Sandwiches, American",$$
bOvnQYw5JJDhpOn70_RUkQ,34.083653,-118.3419599,OUI MELROSE,422,4.4,"Sandwiches, New American, Mediterranean",$$
8LdFAPdaWMg9sVRgmRv0NQ,34.09960998,-118.3313501,Mama's Rooftop,833,3.5,"New American, Cocktail Bars, Wine Bars",$$
OHtTq36D830iydOy8m3J0A,34.069617,-118.403712,The Hideaway,499,3.9,"Steakhouses, Mexican, Cocktail Bars",$$$$
_d3dOIo2dKrBhy4Bmq7stA,34.089695,-118.344703,Lan Noodle,131,4.5,"Noodles, Chinese",$$
BAdOTHAvXneDDu4Maqk67g,34.05916424,-118.308797,Sun Nong Dan,1260,4.4,"Soup, Korean",$$
-gZdC8aD42jiBeaAQH1-1g,34.09787,-118.30203,Lolo,125,4.1,"Wine Bars, New American",
bc7Ji4IyEyOZVNJGs1-Bkw,34.044795,-118.265289,Craft by Smoke & Fire - LA Live,276,4.4,"Comfort Food, Barbeque, New American",$$
dlwxg5OJLJWTPp-saTgDwA,34.083809,-118.352811,Ubuntu,98,4.4,"Vegan, African",
uzAbw27XQTXTivjgf2bN2w,34.06546313,-118.3096168,Han Bat Sul Lung Tang,2831,4.4,"Korean, Soup",$$
r9IgF_MfQueIPq_o0HB2Mw,34.063811,-118.29736,Origin Korean BBQ,158,4.7,"Korean, Barbeque",$$$
JqAjeYMIRTkMpsvsZpqscw,34.09861755,-118.3291245,Grandmaster Recorders,319,4.1,"Lounges, Italian, Cocktail Bars",
pkt6c5JNnFFzZFWJUqvTLg,34.062795,-118.351899,Mom Please,41,4.5,"Sandwiches, Breakfast & Brunch, Coffee & Tea",
Xcl1eK5jHzx6x7wOKRWWDg,34.06186,-118.30848,Gangnam Station Korean BBQ,1998,4.4,"Korean, Barbeque, Buffets",$$
