OID_,GEOID_CT2010,MEAN_ADI_NATRANK,MEDIAN_ADI_NATRANK,MEAN_ADI_STATERNK,MEDIAN_ADI_STATERNK,Shape_Length,Shape_Area,GEOID_CT2010_txt
1,6001400100.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.144230594275598,0.000705925725622,06001400100
2,6001400200.000000000000000,2.500000000000000,2.500000000000000,1.000000000000000,1.000000000000000,0.041978498560083,0.000060043375203,06001400200
3,6001400300.000000000000000,4.750000000000000,3.500000000000000,2.000000000000000,1.500000000000000,0.056026912357939,0.000113189318999,06001400300
4,6001400400.000000000000000,3.333333333333333,4.000000000000000,1.666666666666667,2.000000000000000,0.037274241471429,0.000073255979250,06001400400
5,6001400500.000000000000000,6.666666666666667,6.000000000000000,2.333333333333333,2.000000000000000,0.033134893480210,0.000060426214426,06001400500
6,6001400600.000000000000000,12.000000000000000,12.000000000000000,4.000000000000000,4.000000000000000,0.023928807707360,0.000030487734436,06001400600
7,6001400700.000000000000000,9.500000000000000,9.000000000000000,3.250000000000000,3.000000000000000,0.042525422507859,0.000090105130405,06001400700
8,6001400800.000000000000000,13.333333333333334,12.000000000000000,4.333333333333333,4.000000000000000,0.039382601824269,0.000071266515925,06001400800
9,6001400900.000000000000000,11.000000000000000,11.000000000000000,4.000000000000000,4.000000000000000,0.029115570460141,0.000043078196904,06001400900
10,6001401000.000000000000000,21.166666666666668,22.000000000000000,6.000000000000000,6.000000000000000,0.045459173043025,0.000117112894997,06001401000
11,6001401100.000000000000000,10.250000000000000,7.500000000000000,3.500000000000000,3.000000000000000,0.041626543671399,0.000090366636759,06001401100
12,6001401200.000000000000000,7.666666666666667,7.000000000000000,3.000000000000000,3.000000000000000,0.038255829573207,0.000067916581736,06001401200
13,6001401300.000000000000000,10.333333333333334,11.000000000000000,3.666666666666667,4.000000000000000,0.041075310261085,0.000087841754563,06001401300
14,6001401400.000000000000000,27.000000000000000,28.000000000000000,7.000000000000000,7.000000000000000,0.039164689952542,0.000077585594219,06001401400
15,6001401500.000000000000000,26.000000000000000,31.000000000000000,6.666666666666667,8.000000000000000,0.029828417299229,0.000047864679818,06001401500
16,6001401600.000000000000000,22.500000000000000,22.500000000000000,6.500000000000000,6.500000000000000,0.038371201700648,0.000065091788328,06001401600
17,6001401700.000000000000000,17.000000000000000,17.000000000000000,5.000000000000000,5.000000000000000,0.174875840071827,0.001183973768876,06001401700
18,6001401800.000000000000000,22.000000000000000,22.000000000000000,6.500000000000000,6.500000000000000,0.023081547315217,0.000030553889891,06001401800
19,6001402200.000000000000000,17.333333333333332,16.000000000000000,5.000000000000000,5.000000000000000,0.054750630505437,0.000072851640168,06001402200
20,6001402400.000000000000000,20.000000000000000,20.000000000000000,6.000000000000000,6.000000000000000,0.023959701232370,0.000034481645787,06001402400
21,6001402500.000000000000000,35.500000000000000,35.500000000000000,8.000000000000000,8.000000000000000,0.025225443393634,0.000037388777000,06001402500
22,6001402600.000000000000000,30.000000000000000,30.000000000000000,7.000000000000000,7.000000000000000,0.023369696714617,0.000032619691815,06001402600
23,6001402700.000000000000000,18.000000000000000,18.000000000000000,5.000000000000000,5.000000000000000,0.026058925893532,0.000040804814938,06001402700
24,6001402800.000000000000000,9.000000000000000,9.000000000000000,3.000000000000000,3.000000000000000,0.027297123521852,0.000040751931286,06001402800
25,6001402900.000000000000000,10.000000000000000,10.000000000000000,4.000000000000000,4.000000000000000,0.029895516707094,0.000040085028580,06001402900
26,6001403000.000000000000000,26.000000000000000,26.000000000000000,7.000000000000000,7.000000000000000,0.024556991695299,0.000036050271150,06001403000
27,6001403100.000000000000000,17.000000000000000,17.000000000000000,5.000000000000000,5.000000000000000,0.024019152916266,0.000035484000350,06001403100
28,6001403300.000000000000000,20.000000000000000,20.000000000000000,5.500000000000000,5.500000000000000,0.043186031219304,0.000103581843352,06001403300
29,6001403400.000000000000000,17.250000000000000,17.000000000000000,5.000000000000000,5.000000000000000,0.054678022693290,0.000129587731096,06001403400
30,6001403501.000000000000000,21.666666666666668,17.000000000000000,5.666666666666667,5.000000000000000,0.041083892320789,0.000068544415451,06001403501
31,6001403502.000000000000000,18.500000000000000,18.500000000000000,5.500000000000000,5.500000000000000,0.022731377581659,0.000018669957391,06001403502
32,6001403600.000000000000000,16.333333333333332,20.000000000000000,5.000000000000000,6.000000000000000,0.033607449306381,0.000040056782153,06001403600
33,6001403701.000000000000000,26.000000000000000,26.000000000000000,7.000000000000000,7.000000000000000,0.019281189151493,0.000017797311175,06001403701
34,6001403702.000000000000000,11.500000000000000,11.500000000000000,4.000000000000000,4.000000000000000,0.024736159414414,0.000020370739147,06001403702
35,6001403800.000000000000000,8.750000000000000,5.000000000000000,2.750000000000000,2.000000000000000,0.044395213889914,0.000066780912092,06001403800
36,6001403900.000000000000000,24.666666666666668,16.000000000000000,6.333333333333333,5.000000000000000,0.028680306824378,0.000050455684988,06001403900
37,6001404000.000000000000000,13.000000000000000,13.000000000000000,4.000000000000000,4.000000000000000,0.032453996579883,0.000037554109341,06001404000
38,6001404101.000000000000000,8.000000000000000,8.000000000000000,3.000000000000000,3.000000000000000,0.037444771951629,0.000058717067709,06001404101
39,6001404102.000000000000000,12.500000000000000,12.500000000000000,4.000000000000000,4.000000000000000,0.025437149614572,0.000023554937083,06001404102
40,6001404200.000000000000000,1.333333333333333,1.000000000000000,1.000000000000000,1.000000000000000,0.086000926872653,0.000278800177916,06001404200
