OBJECTID,CT20,LABEL,Shape__Area,Shape__Length
56,106604,1066.04,3849639.1328125,9724.94170490192
57,106641,1066.41,1667911.48046875,7051.5825916594
58,106642,1066.42,2316654.265625,7528.67662657802
59,106643,1066.43,6372077.1875,12117.3279126579
60,106645,1066.45,3712567.953125,11169.1681052669
61,106646,1066.46,2167441.5546875,8662.07658625146
62,106648,1066.48,1164566.25390625,5043.78621755724
63,106649,1066.49,1633997.8203125,7669.60875584556
64,107010,1070.10,1005791.76171875,4792.95987470886
65,107020,1070.20,1458131.11328125,5421.63976761127
66,108101,1081.01,1657090.828125,5417.49537991932
67,108102,1081.02,3206419.7109375,7003.11183486028
68,108103,1081.03,3766536.4765625,13531.7974507665
69,108104,1081.04,1213202.00390625,5450.29031584832
70,108202,1082.02,8778789.4609375,13261.971469189
71,108203,1082.03,2015602.109375,6166.25098949835
72,108204,1082.04,2103618.80078125,8255.66432645041
73,109100,1091.00,3972685.0234375,9730.88963412501
74,109200,1092.00,1493036.90234375,5919.8586350875
75,109300,1093.00,1810110.86328125,6460.00683967594
76,109400,1094.00,1894762.75390625,6477.39003673291
77,109500,1095.00,1753367.078125,7615.53684449026
78,109601,1096.01,3298812.7265625,7417.19145613222
79,109603,1096.03,1465720.2578125,4954.25342645453
80,109604,1096.04,1724265.8671875,5300.09542752788
81,109700,1097.00,2328919.53125,6623.21145711162
82,109800,1098.00,2053411.6484375,6116.7538654802
83,111100,1111.00,1554810.8203125,5005.30560988517
84,111201,1112.01,2808145.1953125,9293.31713759791
85,111202,1112.02,2740025.453125,7658.18018338638
86,111204,1112.04,4859741.2421875,9582.18296968593
87,111205,1112.05,1700728.14453125,5430.26025563968
88,111206,1112.06,3849719.17578125,8909.01787045485
89,111302,1113.02,2278502.1875,6582.45294046421
90,111303,1113.03,2295185.484375,6688.55021804077
91,111304,1113.04,641984.92578125,3241.41694248318
92,111401,1114.01,1233747.50390625,4560.9786005041
93,111402,1114.02,1425378.04296875,4884.1923921434
94,113101,1131.01,3328750.19140625,7909.01200118696
95,113102,1131.02,5387911.90625,9191.43954794943
96,113211,1132.11,10690928.1445313,13997.016210592
97,113212,1132.12,1465455.015625,5241.95782330175
98,113213,1132.13,1908790.2578125,6217.20862834556
99,113231,1132.31,2661237.6484375,12067.6300726251
100,113232,1132.32,3029260.28125,8711.53966857868
101,113234,1132.34,1499999.37109375,6202.15455208703
102,113235,1132.35,10766.06640625,3391.01856623781
103,113237,1132.37,6964306.19140625,13460.0157284442
104,113238,1132.38,1040623.48046875,4015.14462662707
105,113239,1132.39,636869.4453125,3600.46920001841
106,113301,1133.01,3307116.85546875,8362.75987608172
107,113303,1133.03,6008574.46875,11459.342315538
108,113322,1133.22,2621868.60546875,7432.04769847212
109,113323,1133.23,1062238.40625,4069.91122878531
110,113324,1133.24,476093.93359375,2929.70417057713
111,113423,1134.23,1042076.01953125,4088.28633749729
112,113424,1134.24,2553313.96875,7625.09749132089
113,113425,1134.25,497605.03125,2946.98335940048
114,113426,1134.26,2736770.875,7888.09752018202
115,113427,1134.27,380146.09765625,3335.99294746937
116,113428,1134.28,1862946.96875,5593.58199762509
117,115101,1151.01,5694863.98828125,9751.34080513706
118,115103,1151.03,2227868.59375,8224.96143760636
119,115104,1151.04,1496382.55078125,7504.97830100332
120,115202,1152.02,2553969.9453125,6921.24928151626
121,115203,1152.03,887239.01953125,4869.05853910039
122,115204,1152.04,1130710.3671875,4765.56506645373
123,115301,1153.01,2407621.37109375,8079.93713271266
124,115302,1153.02,1228562.46875,4640.02761683896
125,115401,1154.01,2793631.48046875,7533.95515755979
126,115403,1154.03,1031927.60546875,4102.22457363129
127,115404,1154.04,1397905.7734375,4803.56496850392
128,117101,1171.01,1143387.90625,4318.49629490784
129,117102,1171.02,1523935.24609375,5065.19820391552
130,117201,1172.01,1161322.48046875,5058.28965612655
131,117202,1172.02,2660896.17578125,6681.57478311338
132,117301,1173.01,1953829.9609375,5977.9904091764
133,117302,1173.02,3009616.90625,9682.60275158365
134,117303,1173.03,2640497.59765625,6686.15709938084
135,117404,1174.04,2589275.89453125,6536.2746182451
136,117405,1174.05,296020.5859375,2193.375534989
137,117407,1174.07,290853.37109375,2175.00687504174
138,117408,1174.08,552096.453125,3045.49446376313
139,117510,1175.10,491493.01953125,3017.47838152654
140,117520,1175.20,477671.21875,2866.9509308185
141,117530,1175.30,816580.3671875,3672.77792676545
142,119001,1190.01,1573995.25,5154.60602076437
143,119003,1190.03,1249654.6953125,4756.06635982406
144,119004,1190.04,1246184.41015625,4777.64306574051
145,119201,1192.01,1396917.25390625,4781.39049676786
146,119202,1192.02,1422960.81640625,6229.87892657976
147,119310,1193.10,629070.77734375,3710.11013693725
148,119320,1193.20,728458.99609375,3453.44486126483
149,119340,1193.40,179150.21484375,1710.52743485432
150,119341,1193.41,478706.22265625,3083.98969952508
151,119342,1193.42,321394.3046875,2252.7054512229
152,119400,1194.00,1645182.81640625,5229.32396133606
153,119700,1197.00,1921260.58203125,7506.86261884882
154,119801,1198.01,898083.1015625,4425.27383733115
155,119802,1198.02,923605.20703125,4547.96781608063
156,119900,1199.00,1543004.7734375,5409.28319625753
157,120010,1200.10,829231.58984375,3778.02584507495
158,120020,1200.20,781534.2734375,4496.16052456556
159,120030,1200.30,553722.58203125,2990.43490305167
160,120103,1201.03,203069.828125,2081.73954302739
161,120104,1201.04,665543.54296875,3755.10824203313
162,120105,1201.05,807956.42578125,5816.47882871848
163,120106,1201.06,302482.9765625,2240.2013596017
164,120107,1201.07,303959.984375,2241.48163479649
165,120108,1201.08,567469.66796875,3120.67886614982
166,120300,1203.00,2519582.43359375,6837.64583351238
167,120400,1204.00,1562645.8046875,6407.81056033705
168,121010,1210.10,2990422.5703125,7199.37753623872
169,121020,1210.20,1208685.83203125,4845.80104665963
170,121101,1211.01,692475.2265625,3959.89577283855
171,121102,1211.02,11060635.6132813,13896.8744598317
172,121210,1212.10,2973416.24609375,6780.91592530024
173,121221,1212.21,739476.84765625,4077.71447484083
174,121222,1212.22,1957778.25,6717.07273320788
175,121600,1216.00,1670355.73828125,6038.28079636027
176,121801,1218.01,711960.6015625,3897.21655391596
177,121802,1218.02,1393863.234375,5508.6664814033
178,121900,1219.00,2474094.55859375,7420.93553983504
179,122000,1220.00,4783404.9140625,11267.5116980845
180,122120,1221.20,1055163.65625,4927.90881702944
181,122121,1221.21,603923.6953125,4426.43756033894
182,122122,1221.22,1514058.66796875,5656.02948198329
183,122200,1222.00,2498471.24609375,7173.44403737371
184,122410,1224.10,1036201.76171875,4103.15669931407
185,122420,1224.20,1264427.6328125,4572.55391915541
186,123010,1230.10,1488802.609375,5034.67570101763
187,123020,1230.20,829020.9765625,3643.78709150798
188,123103,1231.03,1322015.1796875,4952.58469070746
189,123104,1231.04,1145104.55078125,4255.24218193546
190,123203,1232.03,861056.0390625,4708.68315884941
191,123204,1232.04,475054.453125,2926.71117349118
192,123205,1232.05,1110303.63671875,4256.1538716741
193,123206,1232.06,883332.00390625,3789.11278685447
194,123301,1233.01,1910261.546875,6532.01314250588
195,123303,1233.03,928192.5625,4814.27317780085
196,123304,1233.04,1288182.359375,4957.76943845821
197,123410,1234.10,728482.76953125,3506.378835955
198,123420,1234.20,1152750.36328125,5438.72508973029
199,123510,1235.10,1170003.16796875,4530.1438741622
